Date,Open,High,Low,Close,Adj Close,Volume
1989-11-15,3.671875,3.765625,3.671875,3.765625,1.673501,123200
1989-11-16,3.734375,3.765625,3.734375,3.734375,1.659613,69600
1989-11-17,3.718750,3.718750,3.703125,3.718750,1.652669,12000
1989-11-20,3.718750,3.718750,3.703125,3.703125,1.645725,10400
1989-11-21,3.687500,3.687500,3.625000,3.671875,1.631837,24000
1989-11-22,3.703125,3.718750,3.687500,3.703125,1.645725,381600
1989-11-24,3.734375,3.781250,3.734375,3.781250,1.680445,40000
1989-11-27,3.781250,3.859375,3.781250,3.843750,1.708221,163200
1989-11-28,3.828125,3.843750,3.828125,3.828125,1.701277,12800
1989-11-29,3.828125,3.937500,3.828125,3.921875,1.742941,264800
1989-11-30,3.937500,3.937500,3.843750,3.843750,1.708221,141600
1989-12-01,3.843750,3.875000,3.796875,3.796875,1.687389,43200
1989-12-04,3.796875,3.796875,3.765625,3.765625,1.673501,12000
1989-12-05,3.765625,3.843750,3.765625,3.796875,1.687389,259200
1989-12-06,3.796875,3.796875,3.796875,3.796875,1.687389,4000
1989-12-07,3.812500,3.828125,3.812500,3.828125,1.701277,8800
1989-12-08,3.843750,3.843750,3.828125,3.843750,1.708221,55200
1989-12-11,3.843750,3.843750,3.843750,3.843750,1.719404,12800
1989-12-12,3.843750,3.890625,3.843750,3.875000,1.733383,739200
1989-12-13,3.875000,3.890625,3.859375,3.875000,1.733383,495200
1989-12-14,3.875000,3.875000,3.812500,3.828125,1.712414,118400
1989-12-15,3.843750,3.859375,3.828125,3.828125,1.712414,16800
1989-12-18,3.828125,3.828125,3.640625,3.640625,1.628541,73600
1989-12-19,3.734375,3.750000,3.656250,3.656250,1.635530,109600
1989-12-20,3.625000,3.656250,3.578125,3.656250,1.635530,220000
1989-12-21,3.625000,3.625000,3.593750,3.593750,1.607573,286400
1989-12-22,3.593750,3.593750,3.515625,3.515625,1.572625,187200
1989-12-26,3.500000,3.546875,3.500000,3.546875,1.586604,32800
1989-12-27,3.515625,3.531250,3.515625,3.531250,1.579615,82400
1989-12-28,3.531250,3.656250,3.531250,3.625000,1.621552,282400
1989-12-29,3.593750,3.687500,3.593750,3.625000,1.621552,136000
1990-01-02,3.625000,3.734375,3.625000,3.703125,1.656499,221600
1990-01-03,3.718750,3.734375,3.703125,3.718750,1.663489,83200
1990-01-04,3.750000,3.812500,3.718750,3.718750,1.663489,217600
1990-01-05,3.703125,3.718750,3.703125,3.718750,1.663489,112800
1990-01-08,3.703125,3.718750,3.703125,3.718750,1.663489,10400
1990-01-09,3.750000,3.812500,3.734375,3.796875,1.698436,238400
1990-01-10,3.781250,3.781250,3.750000,3.750000,1.677467,30400
1990-01-11,3.781250,3.796875,3.765625,3.781250,1.691446,32000
1990-01-12,3.750000,3.812500,3.734375,3.734375,1.670478,159200
1990-01-15,3.734375,3.734375,3.718750,3.718750,1.663489,16800
1990-01-16,3.750000,3.750000,3.687500,3.718750,1.663489,135200
1990-01-17,3.750000,3.781250,3.734375,3.734375,1.670478,207200
1990-01-18,3.734375,3.734375,3.718750,3.718750,1.663489,170400
1990-01-19,3.718750,3.750000,3.703125,3.703125,1.656499,52800
1990-01-22,3.687500,3.703125,3.671875,3.687500,1.649510,269600
1990-01-23,3.671875,3.703125,3.656250,3.656250,1.635530,186400
1990-01-24,3.578125,3.593750,3.453125,3.562500,1.593594,238400
1990-01-25,3.578125,3.750000,3.578125,3.734375,1.670478,457600
1990-01-26,3.718750,3.718750,3.671875,3.703125,1.656499,36000
1990-01-29,3.687500,3.703125,3.687500,3.703125,1.656499,5600
1990-01-30,3.671875,3.671875,3.625000,3.625000,1.621552,147200
1990-01-31,3.609375,3.625000,3.546875,3.562500,1.593594,366400
1990-02-01,3.593750,3.703125,3.578125,3.687500,1.649510,439200
1990-02-02,3.703125,3.734375,3.687500,3.687500,1.649510,79200
1990-02-05,3.656250,3.765625,3.656250,3.765625,1.684457,131200
1990-02-06,3.765625,3.812500,3.718750,3.718750,1.663489,345600
1990-02-07,3.656250,3.656250,3.562500,3.562500,1.593594,251200
1990-02-08,3.562500,3.640625,3.562500,3.625000,1.621552,114400
1990-02-09,3.656250,3.718750,3.656250,3.718750,1.663489,38400
1990-02-12,3.703125,3.703125,3.656250,3.656250,1.635530,25600
1990-02-13,3.625000,3.625000,3.562500,3.593750,1.607573,134400
1990-02-14,3.625000,3.671875,3.625000,3.656250,1.635530,142400
1990-02-15,3.687500,3.687500,3.671875,3.671875,1.642520,4800
1990-02-16,3.703125,3.718750,3.687500,3.687500,1.649510,27200
1990-02-20,3.687500,3.718750,3.687500,3.703125,1.667806,28000
1990-02-21,3.687500,3.718750,3.687500,3.718750,1.674843,86400
1990-02-22,3.687500,3.718750,3.671875,3.703125,1.667806,162400
1990-02-23,3.687500,3.687500,3.671875,3.687500,1.660769,21600
1990-02-26,3.656250,3.656250,3.656250,3.656250,1.646695,89600
1990-02-27,3.640625,3.750000,3.640625,3.718750,1.674843,173600
1990-02-28,3.687500,3.718750,3.687500,3.718750,1.674843,23200
1990-03-01,3.765625,3.875000,3.765625,3.828125,1.724103,151200
1990-03-02,3.843750,3.859375,3.828125,3.859375,1.738177,232800
1990-03-05,3.890625,3.921875,3.890625,3.906250,1.759290,73600
1990-03-06,3.937500,3.968750,3.937500,3.937500,1.773363,272800
1990-03-07,3.968750,4.078125,3.968750,4.062500,1.829662,461600
1990-03-08,4.093750,4.312500,4.093750,4.312500,1.942255,763200
1990-03-09,4.343750,4.375000,4.218750,4.218750,1.900033,214400
1990-03-12,4.250000,4.265625,4.156250,4.187500,1.885958,242400
1990-03-13,4.171875,4.203125,4.031250,4.031250,1.815587,126400
1990-03-14,4.015625,4.109375,4.015625,4.062500,1.829662,118400
1990-03-15,4.093750,4.156250,4.078125,4.125000,1.857809,188800
1990-03-16,4.125000,4.218750,4.125000,4.187500,1.885958,543200
1990-03-19,4.187500,4.218750,4.156250,4.187500,1.885958,140000
1990-03-20,4.156250,4.312500,4.156250,4.312500,1.942255,66400
1990-03-21,4.312500,4.343750,4.265625,4.296875,1.935218,304800
1990-03-22,4.250000,4.250000,4.171875,4.171875,1.878920,184000
1990-03-23,4.187500,4.187500,4.109375,4.156250,1.871883,475200
1990-03-26,4.156250,4.156250,4.109375,4.109375,1.850773,293600
1990-03-27,4.125000,4.156250,4.093750,4.140625,1.864846,744800
1990-03-28,4.156250,4.250000,4.156250,4.250000,1.914107,295200
1990-03-29,4.296875,4.328125,4.250000,4.265625,1.921144,74400
1990-03-30,4.218750,4.250000,4.171875,4.250000,1.914107,180000
1990-04-02,4.187500,4.187500,4.000000,4.093750,1.843736,378400
1990-04-03,4.109375,4.187500,4.109375,4.156250,1.871883,278400
1990-04-04,4.125000,4.203125,4.125000,4.171875,1.878920,619200
